activity_matched_words,name,activities,latest_income,region,district,website,dk_priority,cause_ids,causes
social enterpris,Sunnyside Rural Trust Limited,"The provision of vocational training, day and employment services in Hertfordshire for adults with learning disabilities. Sunnyside Rural Trust also runs a number of social enterprise initiatives.",861034.0,East of England,Dacorum,www.sunnysideruraltrust.org.uk,1,"[102, 112, 104]","['Education/training', 'Environment/conservation/heritage', 'Disability']"
comput,Oxfordshire Chinese Community And Advice Centre,"1.Bilingual information, advice, interpreting and translation services 
2.Bilingual computing and English classes, talks and training courses
3.Day care services to look after elderly and vulnerable members
4.Recreational, cultural and community activities
5.Home visitation for the socially isolated, & elderly and those living with long-term or mental illnesses.",140932.0,South East,Oxford,www.occac.org.uk,1,"[113, 105, 107, 102, 109, 103]","['Economic/community development/employment', 'The prevention or relief of poverty', 'Accommodation/housing', 'Education/training', 'Arts/culture/heritage/science', 'The advancement of health or saving of lives']"
grantmak,Mitsubishi Corporation Fund For Europe And Africa,"The objectives of the MCFEA are to promote environmental conservation, environmental education and research, and the alleviation of poverty in Africa and Europe. These objectives are achieved through grant-making to charities and NGOs.",300000.0,London,Camden,http://www.mitsubishicorp.com/gb/en/csr/mcfea/,1,"[105, 113, 102, 112]","['The prevention or relief of poverty', 'Economic/community development/employment', 'Education/training', 'Environment/conservation/heritage']"
internet,South Birmingham Young Homeless Project,"SBYHP is a free advice, information and resource centre for homeless young people offering:
Resettlement 	Internet Access
Tenancy Support	Basic Skills
Housing Advice	Starter Packs
Welfare Rights	Key Deposits
Money Advice	Initial Bus Passes
Sexual Health	Health Advice
Careers Advice	
Individual Grant Applications 
Replacement Birth Certificate
Volunteering Opportunities",206605.0,West Midlands,Birmingham,,1,"[102, 107, 113, 105]","['Education/training', 'Accommodation/housing', 'Economic/community development/employment', 'The prevention or relief of poverty']"
download,Hinckley Homeless Group,"12 bed supported accommodation for young single people, aged 16-25 yrs.  Application forms from office or downloaded (www.hinckleyhomeless.com) MUST be signed.  Referrals direct or through agencies.  Background checks completed and needs/risks assessed.  Max stay 1 yr.  Key Work system used with project staff.  Low to medium risk. All candidates individually Risk Assessed.",206811.0,East Midlands,Hinckley and Bosworth,www.hinckleyhomeless.com,1,[107],['Accommodation/housing']
comput,Bassingham Pre School,"We Are A Village Pre-School With Extended Provision. Offering Both Full-Time & Sessional Daycare For Children Age Between 2 - 4 Yrs. We Are Open 5 Days Per Week, 9.00-12.00 & 12.15-3.15. Our Staff Provide Excellent Care & Have Developed Very Strong Links With The Primary School, Giving Us Access To Additional Facilities Eg, Computer Suite, School Playground, Reception Class & Hot School Lunches.",163790.0,East Midlands,North Kesteven,,0,[102],['Education/training']
comput,Sunshine Pre-School (Droylsden),"Our Children; Are Unique; They Play ,Learn,Inside, Outside, Enjoy All Weathers, Dance, Move,Sing, Talk, Sign, Paint, Draw, Read, Write, Sports Coached, Use Computers, Build, Make, Care, Share, Listen, Make Friends, Celebrate Faiths, Festivals, Feel Safe, Are Safe, Eat Healthily, Develop Personal And Social Skills, Know The Community, Make Visits, Welcome Visitors, Understand The World.",108475.0,North West,Tameside,,0,[102],['Education/training']
grantmak,The Rt Hon Else Countess Beauchamp Deceased Charitable Trust,"The Charity supports The Elmley Foundation, a grantmaking charity for the arts in Herefordshire and Worcestershire.",278301.0,South West,Mid Devon,www.elmley.org.uk,0,[109],['Arts/culture/heritage/science']
technolog,Winklebury Infant School Pre-School,"Wisps Are Committed In Providing Their Children With Outstanding Quality In Education And Learning Opportunities.
Wisps Are Looking To Improve The It Areas Within The Pre-School, Updating The Children'S Experience With Technology.
Wisps Opened A Nurture Room In September 2014, This Is A Dedicated Space To Encourage 2 Year Learners Accessed By All Ages Throughout The Day.",148814.0,South East,Basingstoke and Deane,wisps-preschool.com,0,[102],['Education/training']
platform,The Tait Memorial Trust,"The Trust continues to present performance platforms for emerging and established Australian talent at our many concerts and events, during the 2014-2015 fiscal year, six such events were held. The Tait Memorial Trust has raised more than ?500,000 to help support young Australian musicians and dancers who need financial assistance while they are studying in the U.K.",111912.0,London,Kensington and Chelsea,www.taitmemorialtrust.org,0,"[102, 109]","['Education/training', 'Arts/culture/heritage/science']"
