grant_matched_words,Identifier,Title,Description,Amount Awarded,Award Date,Planned Dates:Start Date,Recipient Org:Name,Recipient Org:Charity Number,Funding Org:Identifier,Funding Org:Name
map,360G-blf-0031030333,Fit for the future - LWCA review and future plan,"The group will use the funding to undertake a mapping and assessment exercise. This will enable the group to identify potential gaps in services for respite care for families living with disabled children, and how these gaps can be addressed to ensure beneficiaries receive an up to date service.",9810.0,2016-01-13,2016-02-29,Leeds Weekend Care Association,1077162,360G-blf,The Big Lottery Fund
databas,360G-blf-0031038137,Making Community Connections,"The organisation will use the funding towards purchasing a customer relationship management system. This will help improve the organisation's services to voluntary organisations and service users, enhance the information provided through their website, provide a searchable database of volunteering opportunities and directory of organisations, and enable members of the community to access tailored support services, training and activities to improve their circumstances and wellbeing.",5700.0,2016-08-10,2016-09-19,Wansbeck Centre for Voluntary Services,1119404,360G-blf,The Big Lottery Fund
platform,360G-blf-0031027128,Installation of Aritico 7000XT external disabled platform lift,The organisation will use the funding to install an external disabled platform lift. This will enable the organisation to allow full accessibility for everyone to all first floor rooms of the community centre.  ,10000.0,2015-09-23,2015-11-03,Hoylake Parade Community Centre (HPCC),1143440,360G-blf,The Big Lottery Fund
platform,360G-blf-0031037805,Getting On Board - Volunteering Charter Marker,"The organisation will use the funding to deliver training courses for local volunteers, organisations and staff. This will help voluntary groups recruit the right volunteers, re-skill and retain volunteers/staff and provide a platform through evening meetings for volunteers to share good practices, learning and knowledge and support each other.",9370.0,2016-08-03,2016-09-06,Voluntary and Community Action Sunderland,702930,360G-blf,The Big Lottery Fund
measur,360G-blf-0031024900,Energy Accessibility SErvice (EASE),"This project will support disabled people across the South West who live in cold homes, struggle to pay for their fuel and water bills or need additional assistance to stay warm at home. In-depth, personalised one-to-one support will be provided to clients through home-visits, outreach events, advice surgeries and follow-up help. Practical support will be provided to understand energy use, systems, bills and to deal with fuel debt. Energy efficiency measures will also be carried out in homes where possible.",428044.0,2015-07-29,2015-10-01,Centre For Sustainable Energy,298740,360G-blf,The Big Lottery Fund
databas,360G-blf-0031025344,Monitoring in Mind,"The organisation will use the funding to purchase and develop a new database and provide an effective customer relationship management (CRM) system. This will help improve the communications, performance and services of the organisation for the benefit of their existing and new service users and other organisations.  ",10000.0,2015-08-05,2015-09-16,Manchester Mind,1102058,360G-blf,The Big Lottery Fund
measur,360G-blf-0031030186,"Making the Beacon a safer, more welcoming Centre for all","The organisation will use the funding improve security measures around the groups buildings. This will prevent crime, trespassing and vandalism, ensuring that local residents can access indoor and outdoor activities in a safe and secure environment.",10000.0,2016-01-06,2016-01-29,St Paul & St Leonard's Church,1145963,360G-blf,The Big Lottery Fund
analysi,360G-blf-0031028637,BC/1/4 Log On to Sign Off (LOSO),"This grant will be used to develop plans for a project to support hard to reach unemployed people, including people with disabilities, those aged over 50 and families, to build their confidence and skills and move them towards accredited training. The development funding will be used to prepare a full business plan for the project and undertake consultation, needs analysis and community mapping of existing provision and develop a shared database across partners.",50000.0,2015-11-06,2016-01-27,whg,1108779,360G-blf,The Big Lottery Fund
databas,360G-blf-0031028637,BC/1/4 Log On to Sign Off (LOSO),"This grant will be used to develop plans for a project to support hard to reach unemployed people, including people with disabilities, those aged over 50 and families, to build their confidence and skills and move them towards accredited training. The development funding will be used to prepare a full business plan for the project and undertake consultation, needs analysis and community mapping of existing provision and develop a shared database across partners.",50000.0,2015-11-06,2016-01-27,whg,1108779,360G-blf,The Big Lottery Fund
map,360G-blf-0031028637,BC/1/4 Log On to Sign Off (LOSO),"This grant will be used to develop plans for a project to support hard to reach unemployed people, including people with disabilities, those aged over 50 and families, to build their confidence and skills and move them towards accredited training. The development funding will be used to prepare a full business plan for the project and undertake consultation, needs analysis and community mapping of existing provision and develop a shared database across partners.",50000.0,2015-11-06,2016-01-27,whg,1108779,360G-blf,The Big Lottery Fund
data,360G-blf-0031028895,Mapping Medway,This charity will use the funding to carry out research and record data to create an online database to support not for profit organisations in Medway and improve joint working within the VCS. This project will improve access to services and improve the infrastructure of community and not for profit organisations so that they empower and meet the needs of the wider community and tackle community issues.,10000.0,2015-11-18,2016-01-27,Medway Voluntary Action,1042475,360G-blf,The Big Lottery Fund
databas,360G-blf-0031028895,Mapping Medway,This charity will use the funding to carry out research and record data to create an online database to support not for profit organisations in Medway and improve joint working within the VCS. This project will improve access to services and improve the infrastructure of community and not for profit organisations so that they empower and meet the needs of the wider community and tackle community issues.,10000.0,2015-11-18,2016-01-27,Medway Voluntary Action,1042475,360G-blf,The Big Lottery Fund
platform,360G-EFF-11-1192,Grant to The Movement for Non-Mobile Children (Whizz-Kidz),"Towards a project to help disabled children across Southern England acquire vital life skills, work experience and a platform to get their voices heard.",90282.0,2011-10-19,,The Movement for Non-Mobile Children (Whizz-Kidz),802872,GB-CHC-200051,Esmée Fairbairn Foundation
databas,360G-blf-0031034677,StSt/2/3 - Evolve,"The funding will be used to develop a project supporting people facing multiple barriers to work through skills and employability training. The grant will be used for staff costs to develop a project plan, a temporary partnership co-ordinator, four networking events, costs of developing a management information database, promotional materials and independent professional advice on state aid and partnership agreements.",49886.0,2016-04-26,2016-06-16,Steps to Work (Walsall) Ltd,1100403,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031046345,Boom Boom!,The project will purchase portable technological devices for visually impaired people to give them independent access to media files. This will reduce their isolation and facilitate social interaction through access to news and current events.,6000.0,2017-02-22,2017-03-07,Lincoln and Lindsey Blind Society,217323,360G-blf,The Big Lottery Fund
platform,360G-EFF-13-0983,Grant to The BRITDOC Charitable Trust,"Towards the development and expansion of the Doc Academy, an online platform that makes an extensive catalogue of documentary films available to secondary schools as supplementary learning resources.",30000.0,2013-10-22,,The BRITDOC Charitable Trust,1151870,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-blf-0031023717,ConnectAbility,"The funding will be used to purchase ipad accessories, speech to text software and five 3D printers as part of a wider scheme to purchase assistive technology and communications equipment. The equipment will be used to help people with multiple and complex disabilities in five different hubs in England to communicate and to use the technology for activities such as shopping, banking and learning.  ",10000.0,2015-06-24,2015-08-20,The Disabilities Trust,800797,360G-blf,The Big Lottery Fund
map,360G-blf-0031034705,Dor/2/3 - Supporting Enterprise Dorset,"The funding will be used to develop a project supporting people to boost their transferable skills and gain employment. The grant will cover staff costs and travel, mapping and research, marketing to identify community enterprise opportunities, professional fees and travel and consultation with housing associations to develop strategies for supporting participants to bridge the gap between benefits and full time enterprise in a high rental county.",50000.0,2016-04-26,2016-06-01,Dorset Community Action,1060910,360G-blf,The Big Lottery Fund
technolog,360G-blf-0031022878,Reaching Out to Deafblind People,"This funding will expand DBUKâ€™s support to Yorkshire, Manchester, Merseyside, London, the East and West Midlands. Free membership includes matching people with volunteers and social groups for activities like art classes and digital technology training. DBUK signposts to other services and helps with everyday things like shopping, paying bills, and overcoming communication and mobility barriers, providing some respite for carers. There is an advocacy manager for advice on welfare, health and legal matters.",499297.0,2015-06-04,2015-07-13,Deafblind U.K.,802976,360G-blf,The Big Lottery Fund
